name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus phage 3A,215167,20.76,112163.0,13.54,1.71,42
Staphylococcus phage tp310-2,445516,20.23,109297.0,13.08,6.36,251
Staphylococcus phage SMSAP5,1168612,18.59,100452.0,12.53,1.77,20
Staphylococcus phage StauST398-5,1308897,2.55,13777.0,2.45,11.27,162
Staphylococcus phage ROSA,320843,2.3,12448.0,2.46,1.16,27
Staphylococcus phage StB20,1147043,2.03,10956.0,1.7,1.7,445
Staphylococcus phage Pvl108,360398,5.83,31494.0,4.92,1.05,11
Merkel cell polyomavirus,493803,21.72,117367.0,18.32,18.38,482
Human papillomavirus type 49,10616,1.71,9237.0,2.02,2.02,77
Staphylococcus phage tp310-3,445517,2.02,10897.0,2.01,9.71,83
Human immunodeficiency virus 1,11676,2.25,12167.0,2.45,2.45,82
